review,rating
"so what would cause 2 grown women and about 2 dozen grown men to faint ? lest you faint , let me tell you up-front that the same jackie chan plays them both . jackie chan films are endurable and enjoyable only because of the boyish charm and energetic bravado of chan himself . the scripts for his movies are usually so thin that , without jackie chan , it would be almost ridiculous to contemplate going to see them . twin dragons , originally released in 1992 , has just been re-released theatrically without allowing the film to be screened in advance to film critics . this is probably smart marketing since , among the jackie chan films , this one is probably one of the silliest and lamest . if you have not seen his movies before , you might be inclined to shake your head and walk out during the first 10 minutes of this one , as it's quite ludicrous . leaving would be a mistake , although going in the first place is still questionable . once you're there , stick around because jackie , especially in the film's grand finale , gets to perform one amazing martial arts feat after another . the whole movie is little more than a ruse for jackie to show us his martial arts skills in a comedic setting . in this broad parody , boomer fights not 1 , not 2 , not 3 but 20 men at a time and eventually wins just before he seems certain to be beaten completely to a pulp . although his later films are much better , this one does have its moments . the plot , such as it is , concerns the misadventures of mr . ma in hong kong as he is mistaken for boomer , and vice versa . when one sneezes , so does the other . the movie is way over-the-top slapstick , but for jackie's die-hard fans , no movie of his can be too hokey . for most of us , we'd be better off renting one of his later , more polished movies and passing on this re-release . it is rated pg-13 for comedic violence , sexual situations and profanity and would be fine for kids 10 or 11 and up . my son jeffrey , age 10 , found the film confusing , and , although he liked the martial arts , he gave the movie only * 1/2 . his friend steven , age 10 , thought there was a little too much fighting , but liked the comedy enough to give the movie * * 1/2 . his twin , john , thought the movie was really good and worth * * * 1/2 . their friend alan , almost 10 , thought the movie was awesome and was a * * * * motion picture .",0.5
"nevertheless , what separates this film from the many other crime-gone-wrong pictures is that it's almost completely non-violent . there are no shoot outs , fistfights , or explosions . there is a gun , but it's used primarily as a prop . palookaville ( the title is from the classic marlon brando line in on the waterfront about losers ) is the debut feature for director alan taylor , who has used the stories of post-wwii italian author italo calvino and the 1956 comic heist movie , big deal on madonna street , as inspirations . as jerry says , "" we're not really cut out for this . some people are . palookaville opens with a jewelry store robbery gone bad -- but not in reservoir dogs fashion . it's not a very good plan -- parts are culled from the old rko movie , armored car robbery -- but they seem to think it's foolproof . one of the things that elevates palookaville over the likes of bottle rocket and things to do in denver when you're dead is its character development . although this film is sprinkled with comic moments and its tone is basically lighthearted , it treats its protagonists seriously . sid , russ , and jerry seem like real people -- losers with good hearts who want to commit crimes but lack the requisite toughness and cynicism . gallo's russ would like us to believe that he's a tough hood , but his hard personality is really a front . with an evocative score by rachel portman and cinematography by john thomas , palookaville has a feel that belies its $1 million budget . at times , the movie is funny , touching , and quirky . there are a few isolated scenes that don't work , but , in general , palookaville represents insouciant entertainment bolstered by an unforced message about not taking the "" american dream "" too seriously . after all , the people in palookaville may be losers with little hope of rising above their circumstances , but that doesn't mean they don't have hearts and souls . and , although it may appear tarantino-inspired at a glance , once you get into palookaville , you'll understand that it has a much kinder , gentler story to tell .",0.75
"1993 has been quite a year for films with chinese and chinese-american themes . now comes cannes film festival palme d'or co-winner farewell my concubine , and it becomes clear that everything else was just a warm-up . director chen kaige has fashioned a drama mesmerizing from first frame to last , and does so without getting artsy or obscure . this is a remarkably accessible epic , and the best film of this year in any language . as adults , the two become the most renowned opera stars in beijing , and adopt new stage names . perhaps the most astonishing thing about farewell is that in spite of its scope , it's really a very simple , old-fashioned love triangle which happens to be about a man and a woman both in love with the same man . the three principals are bold and dynamic characters , each of whom never does exactly what is expected . rather , he treats dieyi more or less as nothing but a co-worker , a man whom he likes and even needs for his career , but doesn't really respect . then there is juxian , perhaps the strongest character emotionally , self-assured to a fault in male-dominated china and capable in that confidence of surprising displays of forgiveness . her conflict with dieyi powers farewell's most haunting moments . chen kaige's direction demonstrates a mastery of composition and narrative structure rarely seen . the opening sequence , a reunion between dieyi and xiaolou which frames the flashbacks to come , is a triumph of lighting and texture . chen crafts brilliant cuts , such as a cut from xiaolou's announcement of his engagement to juxian , and his request for dieyi "" to be my best man , "" to a full screen closeup of dieyi , still in his concubine makeup and looking not like a "" best man "" but a rejected woman . every shot is a minor revelation , raising chen to the level of one of modern cinema's true masters . no amount of hyperbole will get some filmgoers to see a 2 1/2 hour story with subtitles about marginalized characters . i can't think of a greater artistic tragedy . farewell my concubine is a thrilling love story , a political epic and an intimate character study rolled into one stunning package . if you've never seen a non-english language film before , find this one . it's just that good .",1
"in the movies , like in real life , it isn't enough just to have a heart in the right place . good intentions are nice , but they need to be backed up by an intelligent script telling an involving story . in the case of dangerous minds , we get an idealized version of inner city life , where , though problems may require more than the wave of a magic wand to remove , the solutions still seem too facile . with master crowd-pleasers don smith and jerry bruckheimer behind the production , there is never any question that this movie will pander to the least common denominator . drama is pretty much by-the-numbers , tragedy is shallow , and the resolution is expectedly upbeat . emotion and character interaction rarely ring true . a good question , and the answer may explain why this film is so erratic . relationships that should have been better developed are left in an embryonic stage . there's obviously something missing in the way these two learn to relate to each other . the result of this incomplete , hit-and-miss approach diminishes the impact of the film's central tragedy . in the face of hard-hitting pictures like kids and teen dreams , it's difficult not to see this movie as trivializing serious issues . the seams in the script show a little too clearly , and the heavy-handed attempts at audience manipulation stand out . michelle pfeiffer gives a solid performance , as do a number of the young actors playing louanne's students , but dangerous minds is in desperate need of more than good acting . it demands substance rather than the filler that the film makers thought would make an acceptable substitute .",0.55
"despite their radically different compositions , both groups have a lot in common . just like abba twenty years ago , the spice girls are pop wonders who manage to rise consistently to the top of the music charts despite the essential vapidity of their hits . now , for better or worse , the spice girls have done something that abba never did : starred in a movie . it's worth noting at the outset that i am definitely not a member of the target audience for this movie . i'm also not a spice girls fan . actually , going into the film , i was rather neutral towards them . they may be pleasant to look at , but their irritating antics as presented here are enough to put someone off of them permanently . suffice it to say that i won't be buying the soundtrack . the movie's premise is as flimsy as can be , but it least it doesn't require a whole lot of acting from the main quintet of baby spice ( emma bunton ) , ginger spice ( geri halliwell ) , scary spice ( melanie brown ) , sporty spice ( melanie chisholm ) , and posh spice ( victoria adams ) . in the end , however , they triumph over all adversity and wow their fans . the press package for spice world makes the jaw-dropping statement that the film is "" a '90s version of a hard day's night with a pinch of this is spinal tap and a dash of speed "" . time for a reality check . any similarities between spice world and those three films are entirely superficial . the speed citation points to a brief parody of a high- speed bus chase , and nothing more . no aspect of spice world's occasional pseudo-documentary approach comes close to the acid edge achieved by spinal tap . and , although the film is clearly trying to follow in the footsteps of the beatles' classic , it's several long strides behind , lacking the same sense of originality , spontaneity , high energy , and joi de vie . not to mention the differences in music quality . a hard day's night was a breath of fresh air ; spice world is recycled . sadly , however , spiers doesn't generate enough laughter here , and even the "" name the next familiar face "" game can't save the film . although the spice girls , who appear comfortable in front of the camera , are the headliners , there are a few legitimate performers in the film . richard e . grant leads the pack as an intentionally over-the-top neurotic who quickly got on my nerves . alan cumming , barry humphries , george wendt ( as an american movie producer ) , richard o'brien ( best known as riff raff from the rocky horror picture show ) , and claire rushbrook ( as the girls' assistant ) all have more than a few seconds of screen time . spice world is a vanity project -- an ego trip designed to show the five girls in the best possible light and give them a chance to perform about 14 numbers on-screen . as a comedy , it's weak , because most of the jokes are obvious and not especially funny . as a satire , it's weaker , because the screenplay never takes any chances and all of the mini parodies are safe , silly , and creatively lifeless . the film isn't even a particularly good musical , because the songs are so inane . the only people who are likely to be able to sit through spice world without casting numerous yearning glances at the exit are those who number themselves among the group's legion of die-hard fans . ultimately , this film has too much spice and not enough flavoring . - ingmar bergman",0.5
"first , let me clear up a little confusion . there are now two movies in release in the us with almost the same names : fresh and frosh . the movie i saw is a documentary about the lives of a dozen freshmen in a dorm at stanford . clearly , it has the unofficial title of academic freedom today--believe and say anything you want provided it is official politically correct dogma , but more on that latter . in my opinion , documentaries are one of the highest cinematic art forms . they cover a wide spectrum of beliefs from triumph of the will to roger and me . the purpose of a documentary is to allow you to vicariously live in another world , but in the case of a documentary , it is a real world--full of warts , bad grammar , and bad hair days . a documentary , if it is good , will frequently enrage you . at a minimum , it should make you think . three of my absolute favorite movies i have ever seen are documentaries : 28 up , 35 up , and sherman's march . this documentary , although poorly made and constructed , nevertheless , is a full fledged descendent of this art form for it did enrage me , and it certainly made me think . the directing , cinematography , and just about everything in the production of this documentary was done by daniel geller and danya goldfine . as far as the technical merits of the show , it was amateurish in parts . the camera was held fairly steady , but only one camera was used and hence there was too much panning and zooming . the colors were hopelessly faded . they needed a better camera , better processing or something . the editing was a little loose and although scenes had labels , they were pretty arbitrary and overall the documentary was not well organized and constructed . the reason to see this movie has nothing to do with the above technical aspects . you want to see it for the content . in the rest of the review i will cover some of the high points to give you a flavor . based on what was presented in the documentary , the previous statement was a bold face lie . we find kids who almost all think exactly alike , total pc . the parallels with this and the book "" 1984 "" are chilling . what do these kids believe in ? very little . the only consistent value they have seems to be heavy drinking contests , some dope smoking , or lots of hanging around the dorm arguing what is pc and what isn't . i should point out that the term politically correct is never mentioned explicitly in the movie , but the philosophy is all over the place . reading the constitution , especially the bill of rights , does not appear to be part of the curriculum . on the surface the kids seem bonded to each other , but if you think about it for a minute you realize that there are almost no scenes where they do any actions that show they really care for each other . the movie has no mpaa rating . for the drug use and the frequent use of f word , i would assume it would be rated r , but who knows . i would take my teenager to see it and discuss it with him or her about it afterwards . i rate this a must see for anyone with kids anywhere near or at college age . i recommend it to everyone and give it * * * . it runs a bit too long at 1 : 33 . finally , i would love to see a sequel with the same people in their first real job in life . * * * * = one of the top few films of this or any year . a must see film . * * * = excellent show . look for it . * * = average movie . kind of enjoyable . * = poor show . don't waste your money . 0 = one of the worst films of this or any year . totally unbearable . opinions expressed are mine and not meant to reflect my employer's .",0.7
"a strangely intriguing , darkly made psychological allegory based on the late walker hamilton's only novel . it is the directorial debut film of jeremy thomas , the producer of bertolucci , roeg , and cronenberg films , and the husband of the screenwriter eski thomas . the film works its way to a suspenseful but tacky and implausible revenge conclusion , as all its energy seems to have been spent on its fairy tale setup and the relationship between the two kindred spirits . but , nevertheless , this film , if you allowed it to be seen as a proficiently lyrical work , one that is heartfelt and never false , then you can feel the sincerity of it and you can see in the grand shots of bobby's escape to the wilderness , away from civilization , as he earnestly narrates his tale of woe offscreen , how poetical the film is and how it is a modern fairy tale for adults and fans of the cinema that still believe that movies can make them see things again as they did when they were children .",0.7
"nell , jodie foster's return to dramatic acting following a flirtation with maverick's action-comedy , is an entirely human movie . jodie foster's two oscars are no fluke , as her simple-yet-profound performance in nell illustrates . she is one of only a few actors capable of so fully immersing herself in a character that it's possible to forget the star behind the performance . with jack nicholson or al pacino , you watch a variation of the same personality ; with jodie foster , you see a new individual . this , the real meat of nell , is where the film attains its depth and richness . it's a wonderful background for this tale . liam neeson and natasha richardson are solid , but constantly in foster's shadow . in a film as frequently introspective as nell , it's refreshing not to have the three main actors struggling to outdo each other . the gentle , unforced tone , once established , is maintained--until the unfortunate climax . perhaps the writers couldn't think of a better way out of an admittedly-difficult situation , but to pander to the "" hollywood mentality "" of movie endings is a unworthy way to wrap up what is otherwise a finely-crafted motion picture . had the majority of nell not been so impressive , the lackluster final act wouldn't have been as disappointing . despite this moderate tarnish , it is difficult to deny nell's intelligence and sensitivity . we approach this story with the same fascination that nell faces each day , seeing , if only for a short time , how different the world--and people--can be . it is this impression more than any other that stays with the viewer after the drama has been played out and the final credits roll . the above represents the opinions of the author , and not necessarily those of bellcore or any organization within bellcore .",0.78
"producers : conchita airoldi , julie taymor and jody patton . director : julie taymor . mpaa rating : r ( violence , sexual situations , nudity , adult themes ) running time : 162 minutes . i'm not saying that there's absolutely nothing julie taymor isn't willing to try in her feature film debut titus , but at some point during the production i'm fairly certain i saw a kitchen sink fly through the frame . it came somewhere between the roman soldiers marching in traditional costume and political rivals riding in motorcades , between the swing band playing at an emperor's wedding feast and the swing of a camera around a freeze-frame tableau of death a la the matrix . there's no telling from one minute to the next where or when we are , or what cinematic device will make a cameo appearance . virtually from the first frame , titus unfolds as over two and a half hours of blood , bombast and auteurial audacity . i'm having a hard time putting my finger on exactly why titus actually left me marginally impressed instead of bored by the director's "" hey , check out what i can do "" style . sure , it's shakespeare ; it's also the play t . s . eliot called "" one of the stupidest and most uninspired plays ever written . "" big mistake . without a sense that there's some sort of cultural lesson to be taken away from the gruesome events , they simply become gruesome events . i'd never read titus andronicus nor seen any production before this one , and i can't say i'm terribly eager to see it again . yet while titus is far from a gripping story , it's still a pretty decent piece of theater . taymor's roots are on broadway ( she directed the stage production of the lion king ) , but that doesn't mean she can't make use of a camera . at times , titus almost seems to be the work of a director who isn't sure if she'll ever get the chance to make a film again , so she leaves everything she's got on the screen . it's hard to imagine so grim a tale given more energy through sheer force of a director's imagination . it would be a cruel misuse of the word "" entertaining "" to say that titus qualifies . it's well-acted enough -- cumming in particular is a delight as the foppish saturninus -- but not a showcase for master thespianism . in fact , anthony hopkins' best moment may be a ghoulish reference to his renown as cinema's most famous cannibal . i didn't enjoy all that much of titus , but i found myself admiring taymor's choices even when i didn't understand them , or even agree with them . simply put , titus is a display of film-making nerve -- the spectacle of a novice movie director deciding to pick shakespeare for her first work , and one of shakespeare's least respected works at that , then molding it into something consistently watchable . see the screening room for details , or reply to this message with subject "" subscribe "" .",0.6
"although there are shades of close encounters of the third kind , phenomenon is mainly forrest gump-lite . as you can tell , i was extremely disappointed by this show which managed to bore me silly no matter how well intentioned the plot and how earnest the acting . he becomes fluent in portuguese in 20 minutes just by reading a book . mainly he applies it to ways to grow bigger vegetables . now , in the real world , this would certainly be a worthy endeavor as schools from texas a & m to the university of california at davis would attest . as stimulating movie making , it left my entire family bored , fidgeting in our seats , and checking our watches . the script by gerald di pego has lines that includes george's come on to lace of , "" i'd like to get my hands on your carburetor , "" and lace's refusal to george of , "" your idle's too fast . "" my main fault with the dialog is not so much that it is trite as it is tedious . the direction by jon turteltaub ( 3 ninjas and cool runnings ) has a glacial pace . although the normally excellent forest whitaker as george's friend nate pope is not given much to do in the show , the only bad acting is sedgwick's . sedgwick has a highly limited acting range . if she has ever given a decent performance , i have not seen it , and i have had the poor fortune to have viewed her in many a picture . travolta clearly had great fun making this film . although he does not demonstrate particularly strong acting , his enthusiasm for the role radiates good vibes . if the show were not so dull , his portrayal would have made the film into a classic feel good movie . the gem of the show and the best piece of acting is done by robert duvall as the local town doc . the rest of the actors operate only on an ethereal plane . the movie is never involving and is content to be nothing more than a paean to the sweetness of a man blessed with a magical gift . i will give it this . phedon papamichael's warm and glowing cinematography is lovely . phenomenon runs quite long at 2 : 03 . tighter editing by bruce green could have improved the show dramatically . the show is rated pg , but i think pg-13 would have been much more appropriate . there are a plethora of cuss words , and none are necessary . although the f word is not used , most of the others are . do we really have to have jesus christ used as a frequent expletive in a pg show ? there is no sex , nudity , or violence . i would caution parents not to take kids under say 10 . he was bored stiff as little happened for long periods of time , and he rated it "" so-so . "" i liked some of the acting , but can not recommend it either . i give it * * . * * * * = one of the top few films of this or any year . a must see film . * * * = excellent show . look for it . * * = average movie . kind of enjoyable . * = poor show . don't waste your money . 0 = one of the worst films of this or any year . totally unbearable . opinions expressed are mine and not meant to reflect my employer's .",0.5
